2022-10-18 14:51:09.809 [main] INFO  com.xzkj.smsService.OperatorApplication - The following profiles are active: dev
2022-10-18 14:51:11.147 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-18 14:51:11.154 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-18 14:51:11.218 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21ms. Found 0 repository interfaces.
2022-10-18 14:51:11.724 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=41fc20b6-83d3-368a-82c5-b26530378a0f
2022-10-18 14:51:12.224 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-18 14:51:12.393 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-10-18 14:52:29.803 [main] INFO  com.xzkj.smsService.OperatorApplication - The following profiles are active: dev
2022-10-18 14:52:31.053 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-18 14:52:31.060 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-18 14:52:31.115 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 repository interfaces.
2022-10-18 14:52:31.624 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=41fc20b6-83d3-368a-82c5-b26530378a0f
