2022-10-19 09:44:00.268 [main] INFO  com.xzkj.smsService.SmsApplication - Starting SmsApplication on localhost with PID 1193 (/Users/yoca-391/Desktop/works/csp_5G/service/service_sms/target/classes started by yoca-391 in /Users/yoca-391/Desktop/works/csp_5G)
2022-10-19 09:44:00.283 [main] INFO  com.xzkj.smsService.SmsApplication - The following profiles are active: dev
2022-10-19 09:44:01.710 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-19 09:44:01.717 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-10-19 09:44:01.783 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27ms. Found 0 repository interfaces.
2022-10-19 09:44:02.470 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-10-19 09:44:03.580 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-10-19 09:44:03.604 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-10-19 09:44:03.606 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-19 09:44:03.606 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2022-10-19 09:44:03.758 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring embedded WebApplicationContext
2022-10-19 09:44:03.759 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3356 ms
2022-10-19 09:44:04.467 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-10-19 09:44:05.815 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-10-19 09:44:07.129 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2022-10-19 09:44:07.178 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/base'
2022-10-19 09:44:07.184 [main] INFO  com.xzkj.smsService.SmsApplication - Started SmsApplication in 8.55 seconds (JVM running for 18.338)
2022-10-19 09:45:02.286 [http-nio-8081-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/base] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-19 09:45:02.287 [http-nio-8081-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-19 09:45:02.309 [http-nio-8081-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 21 ms
2022-10-19 09:45:02.547 [http-nio-8081-exec-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} inited
2022-10-19 09:45:02.847 [http-nio-8081-exec-2] INFO  com.xzkj.smsService.controller.TStudentController - []
2022-10-19 09:45:56.557 [http-nio-8081-exec-3] INFO  com.xzkj.smsService.controller.TStudentController - [TStudent(id=1, name=xpy, age=18)]
2022-10-19 09:49:13.882 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-10-19 09:49:13.904 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} closing ...
2022-10-19 09:49:13.933 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-2} closed
2022-10-19 09:49:13.935 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-10-19 09:49:13.938 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-10-19 10:46:00.877 [main] INFO  com.xzkj.smsService.SmsApplication - Starting SmsApplication on localhost with PID 1669 (/Users/yoca-391/Desktop/works/csp_5G/service/service_sms/target/classes started by yoca-391 in /Users/yoca-391/Desktop/works/csp_5G)
2022-10-19 10:46:00.882 [main] INFO  com.xzkj.smsService.SmsApplication - The following profiles are active: dev
